_id,username,uid,attraction_review_name,nb_cities_visited,src,nb_contributions
ObjectID(5c2e969caed964506ce1879d),"CHER9233","BF26756A4EF34E3F0790775B5B0FEFB4","Tour Eiffel","47","609414461","492"
ObjectID(5c2e969eaed964506ce1879e),"644jeromet","6DBCDFDF831763C7D8D0E86C38020122","Tour Eiffel","2","609431285","3"
ObjectID(5c2e96a0aed964506ce1879f),"stf1307","601C310D6FEF0365A0B21500B069BDDD","Tour Eiffel","13","609640686","72"
ObjectID(5c2e96a1aed964506ce187a0),"BenoGui","8857EBF3F414A9C0698FF99779881218","Tour Eiffel","26","609666278","38"
ObjectID(5c2e96a4aed964506ce187a1),"Nanou21300","1568EBD29E41845B8B6F9B6429003CF5","Tour Eiffel","6","609741747","15"
ObjectID(5c2e96a7aed964506ce187a2),"christopheo763","4ABF850E5A2AC107B4CA96EFD4E31204","Tour Eiffel","10","608848555","19"
ObjectID(5c2e96a9aed964506ce187a3),"abdoulb291","C68DD81C7575BE0CC6CE7CB10CD15CE1","Tour Eiffel","3","608860842","25"
ObjectID(5c2f60e1aed9643f90b00516),"christopheo763","4ABF850E5A2AC107B4CA96EFD4E31204","Tour Eiffel","10","608848555","19"
ObjectID(5c2f60e4aed9643f90b00517),"seasiamoise","CED2D50259E5900FD851D9DE4368C8D7","Tour Eiffel","155","609192241","176"
ObjectID(5c2f60e7aed9643f90b00518),"priscoco","0C237F040C9245257AF1D9AD90D89EBF","Tour Eiffel","17","609765281","64"
ObjectID(5c2f60e9aed9643f90b00519),"calain_40","4B3BBAC94D112D08281D4F42974BFCDD","Tour Eiffel","38","610237957","69"
ObjectID(5c2f60ecaed9643f90b0051a),"2ADORIA","5DDEA385928A2398B4E26B11A9CC7159","Tour Eiffel","241","610875226","490"
ObjectID(5c2f60efaed9643f90b0051b),"mimilyciouus","A2C5BB01C6934C6C28D57C5BD1385560","Tour Eiffel","5","611510249","8"
ObjectID(5c2f60f2aed9643f90b0051c),"gagets2017","2BB6738956061ACA1B226D61F659A873","Tour Eiffel","24","612027296","35"
ObjectID(5c2f60f5aed9643f90b0051d),"lolies3","8D56F7DFED03FA94BD67950445A34AF6","Tour Eiffel","33","612624931","102"
ObjectID(5c2f60f7aed9643f90b0051e),"elisajen","6B6CEA8EA015498DBAF450D31BFF3452","Tour Eiffel","4","612901625","13"
ObjectID(5c2f60faaed9643f90b0051f),"745veroniqueb","3BDBF35C2FC09AAF9E84F935AD2C1672","Tour Eiffel","3","613348643","4"
ObjectID(5c2f60fcaed9643f90b00520),"lised824","87B2FE46EF95EF3DC6801773A2AF2247","Tour Eiffel","34","614654604","93"
ObjectID(5c2f60feaed9643f90b00521),"carinne57","60C079BDD9B2FB663448A3F83D8AF781","Tour Eiffel","1 ville visitée","615098579","3"
ObjectID(5c2f6101aed9643f90b00522),"898christineg","A6959BB928EFDA503D3ADBF3E2A22BC5","Tour Eiffel","6","615596688","15"
ObjectID(5c2f6103aed9643f90b00523),"youri56","1E540B10508ECD9ED0D25EE7F96399EF","Tour Eiffel","1 ville visitée","616454182","5"
ObjectID(5c2f610aaed9643f90b00524),"kristie4","11C158F1CBCC4CC1677D7019B890B062","Tour Eiffel","14","1419881","12"
ObjectID(5c2f610caed9643f90b00525),"Inspiration5030","A2312C14D77CBE691C02A5C98F9CAEA6","Tour Eiffel","250","1552168","1 contribution"
ObjectID(5c2f610eaed9643f90b00526),"Cosmopolitan10170","D458EC9D18C34E9096AC2FA502100792","Tour Eiffel","1 ville visitée","1726805","1 contribution"
ObjectID(5c2f6111aed9643f90b00527),"Quest10543","43D30F2041AED70E9F2CA4A4FA773B24","Tour Eiffel","2","1765534","5"
ObjectID(5c2f6114aed9643f90b00528),"MKefer","EED30B20833D12A2168A9DA2267D57AE","Tour Eiffel","2","2223758","3"
ObjectID(5c2f6117aed9643f90b00529),"Culture30058","96B20A5E059FA9EDE7DCAE0EAE2C4C11","Tour Eiffel","1 ville visitée","2269014","1 contribution"
ObjectID(5c2f611aaed9643f90b0052a),"DidierPeps","2E63FBD64EF78979012BC9B2A7CF4814","Tour Eiffel","16","616456056","25"
ObjectID(5c2f611caed9643f90b0052b),"Latrome","FD258B2385C66E4A538677A0959642EB","Tour Eiffel","4","616663883","7"
ObjectID(5c2f611faed9643f90b0052c),"790veroniquem","A20A2EB37464A748304CD85578B3253B","Tour Eiffel","12","616733389","36"
ObjectID(5c2f6120aed9643f90b0052d),"610jacquesf","7B03039331EBE7A12AC76B111600F6C2","Tour Eiffel","12","616805649","23"
ObjectID(5c2f6123aed9643f90b0052e),"eric431","95680B8B72E316017FB030B9437C9642","Tour Eiffel","73","616836758","105"
ObjectID(5c2f6126aed9643f90b0052f),"959michelh","E30FFEC06E30EFAE8A5BC62BD4B89816","Tour Eiffel","6","616840373","10"
